"No.","Time","Source","Destination","Protocol","Length","Info"
"325","45.721098","192.168.56.102","192.168.56.103","TCP","66","57221  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"326","45.721099","192.168.56.102","192.168.56.103","TCP","66","57221  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"327","45.721099","192.168.56.102","192.168.56.103","TCP","66","57221  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"328","45.721099","192.168.56.102","192.168.56.103","TCP","66","57221  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"329","45.721099","192.168.56.102","192.168.56.103","TCP","66","57221  >  199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"330","45.721099","192.168.56.102","192.168.56.103","TCP","66","57221  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"331","45.721221","192.168.56.103","192.168.56.102","TCP","60","3306  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"332","45.721247","192.168.56.103","192.168.56.102","TCP","60","443  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"333","45.721264","192.168.56.103","192.168.56.102","TCP","60","1723  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"334","45.721284","192.168.56.103","192.168.56.102","TCP","60","587  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"335","45.721298","192.168.56.103","192.168.56.102","TCP","60","199  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"336","45.721315","192.168.56.103","192.168.56.102","TCP","60","139  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"337","45.721441","192.168.56.102","192.168.56.103","TCP","66","57221  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"338","45.721441","192.168.56.102","192.168.56.103","TCP","66","57221  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"339","45.721441","192.168.56.102","192.168.56.103","TCP","66","57221  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"340","45.721442","192.168.56.102","192.168.56.103","TCP","66","57221  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"341","45.721459","192.168.56.103","192.168.56.102","TCP","60","1720  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"342","45.721477","192.168.56.103","192.168.56.102","TCP","60","23  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"343","45.721631","192.168.56.103","192.168.56.102","TCP","64","22  >  57221 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"344","45.721660","192.168.56.103","192.168.56.102","TCP","60","135  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"345","45.721989","192.168.56.102","192.168.56.103","TCP","66","57221  >  22 [RST] Seq=1 Win=0 Len=0"
"346","45.722344","192.168.56.102","192.168.56.103","TCP","66","57221  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
